id,title,color,type,text
1-001,"La=Zuh, the Light Dragonlord",WHITE,{L} UNIT,"[ENT] Destroy all enemy units.

[CB] Put this into your hand."
1-002,"Zelbal, the Greatwing of Dune",WHITE,{L} UNIT,"<<BRAVERY>>, <<VIGOR>>, <<AURA>>

[CB] Your units gain +2/+2 and <<BRAVERY>>."
1-003,"Asuha, the Dawn Mechlord",WHITE,{L} UNIT,"<<BRAVERY>>

[RETREAT] You may put this onto your chronoglyph as a bookmark.

[BOOKMARK] Your white units gain +2/+2."
1-004,King Arthur,WHITE,{E} UNIT,"<<AURA>>

[AUTO] Whenever this unit deals damage to an opponent, Chronocheck 1."
1-005,Athena,WHITE,{E} UNIT,"<<BRAVERY>>

[ATK] This gains +1/+1 for each card in your CA zone with a CA value of 3.
[DRAFT] [CHRONOFORM] The next 4 cards you pick share the same color."
1-006,Gawain,WHITE,{E} UNIT,"<<BRAVERY>>, <<VIGOR>>"
1-007,"Nillves, the Evil Light",WHITE,{E} UNIT,"The cost to play this card becomes (0) if you put 2 or more {N} units into the battlefield this turn.

<<BRAVERY>>

[CB] Put one Knight token into the battlefield."
1-008,"Shessna, the Divine Strategist",WHITE,{E} UNIT,"[ENT] <<JUDGE>>: Chronocheck 1.

[AUTO] Whenever a card is put into your discard pile by <<JUDGE>>, you may put that card to the top of your deck."
1-009,"Celeneca, the Sacred Seeker",WHITE,{E} UNIT,"[AUTO] Whenever another non-token white unit of yours enters the battlefield, you gain 2 life.

[ATK] If your life is 20 or more, your units gain +1/+1."
1-010,"Esharote, the Moon Muse",WHITE,{E} UNIT,[DEV] Put one non-{L} white unit card in your discard pile into the battlefield.
1-011,"Toh=Ah, the Leading Archangel",WHITE,{E} UNIT,"<<BRAVERY>>

[ATK] <<JUDGE>>: This gains +2/+2."
1-012,"Laharn, the Thousand Swords.",WHITE,{E} UNIT,[ENT]［SYNC (W)(W)]::Put two Knight tokens into the battlefield.
1-013,"Neleoza, the Angel of Requiem",WHITE,{E} UNIT,[DEV] You may put up to two {N} units in your grave into your hand.
1-014,"Shadaz Adom, the Mech Soldier",WHITE,{E} UNIT,"[DEV] This gains +4/+0, <<BRAVERY>> and <<AURA>>."
1-015,"Lahn, the Angel of Might",WHITE,{E} UNIT,<<BRAVERY>> (This attacks without exhausting itself.)\n[ENT} [SYNC (W)]: You gain 3 life. Draw one card.
1-016,"Thylis Luria, the Star General",WHITE,{E} UNIT,"<<BRAVERY>>\n[AUTO] Whenever this card is put into your grave from non-the battlefield zone, you may put this into the battlefield exhaustd."
1-017,"Lennet, The Knight Commander",WHITE,{E} UNIT,<<BRAVERY>>\n[CONT] Your other units with <<BRAVERY>> gain +1/+1.\n[CB] Put one unit card with <<BRAVERY>> in your grave into your hand.
1-018,Famnus. The Grand Pope,WHITE,{E} UNIT,"<<VIGOR>> <<AURA>>\n[AURA] Whenever you gain life, choose one;\n* Put one Knight token into the battlefield.\n* Your units gain +2/+2."
1-019,"Dooth, the Hundred Sords",WHITE,{E} UNIT,[ENT] Your units gain +1/+1 and <<BRAVERY>>.\n[CB] Put one Knight token into the battlefield.
1-020,Yamatotakeru,WHITE,{E} UNIT,[CONT] This cannot be chosen by enemy spells and/or abilities.
1-021,"Jin=Eh, the Grand Carpenter",WHITE,{E} UNIT,<<BRAVERY>>\n[ENT] You may trigger a [DEV] ability of your unit.\n[CB] You may trigger a [DEV] ability.of your unit.
1-022,Holy Enchanter of Abissa,WHITE,{N} UNIT,"[ENT] Activate up to 2 units.

[CB] <<JUDGE>>: Draw 1 card."
1-023,Angel of Knighthood,WHITE,{N} UNIT,[ENT] <<JUDGE>>： Draw one card.
1-024,Illuminated Cavalry,WHITE,{N} UNIT,<<BRAVERY>> (This attacks without exhausting itself.)
1-025,Faithful Guardian,WHITE,{N} UNIT,[ENT] One unit gains +0/+3.\n[CB] <<JUDGE>>： Draw one card.
1-026,Sand Sentry of Zerba,WHITE,{N} UNIT,"<<BRAVERY>>\n[ATK] If you have another unit with <<BRAVERY>>, this gains +3/+3."
